Red,Green,Blue
,,
0.607,0.179,0.214
,,
0.6,0.167,0.233
,,
0.607,0.179,0.214
,,
0.607,0.179,0.214
,,
0.615,0.154,0.231
,,
0.6,0.16,0.24
,,
0.6,0.16,0.24
,,
0.615,0.154,0.231
,,
0.6,0.16,0.24
,,
0.625,0.167,0.208
,,
0.6,0.16,0.24
,,
0.615,0.154,0.231
,,
0.6,0.16,0.24
,,
0.625,0.167,0.208
,,
0.609,0.174,0.217
,,
0.619,0.143,0.238
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.625,0.167,0.208
,,
0.625,0.167,0.208
,,
0.625,0.167,0.208
,,
0.625,0.167,0.208
,,
0.625,0.167,0.208
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.636,0.136,0.227
,,
0.609,0.174,0.217
,,
0.636,0.136,0.227
,,
0.636,0.136,0.227
,,
0.636,0.136,0.227
,,
0.619,0.143,0.238
,,
0.609,0.174,0.217
,,
0.636,0.136,0.227
,,
0.636,0.136,0.227
,,
0.619,0.143,0.238
,,
0.636,0.136,0.227
,,
0.619,0.143,0.238
,,
0.636,0.136,0.227
,,
0.636,0.136,0.227
,,
0.636,0.136,0.227
,,
0.619,0.143,0.238
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.625,0.167,0.208
,,
0.609,0.174,0.217
,,
0.625,0.167,0.208
,,
0.609,0.174,0.217
,,
0.625,0.167,0.208
,,
0.609,0.174,0.217
,,
0.625,0.167,0.208
,,
0.609,0.174,0.217
,,
0.625,0.167,0.208
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.625,0.167,0.208
,,
0.609,0.174,0.217
,,
0.625,0.167,0.208
,,
0.609,0.174,0.217
,,
0.625,0.167,0.208
,,
0.609,0.174,0.217
,,
0.625,0.167,0.208
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.609,0.174,0.217
,,
0.636,0.136,0.227
,,
0.609,0.174,0.217
,,
0.619,0.143,0.238
,,
0.636,0.136,0.227
,,
0.636,0.136,0.227
,,
0.609,0.174,0.217
,,
0.636,0.136,0.227
,,
0.636,0.136,0.227
,,
0.619,0.143,0.238
,,
0.609,0.174,0.217
,,
0.619,0.143,0.238
,,
0.619,0.143,0.238
,,
0.619,0.143,0.238
,,
0.619,0.143,0.238
,,
0.619,0.143,0.238
,,
0.636,0.136,0.227
,,
0.619,0.143,0.238
,,
0.619,0.143,0.238
