r,g,b
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,0.0
11.0,9.0,9.0
15.0,12.0,12.0
14.0,11.0,12.0
10.0,9.0,9.0
29.0,11.0,13.0
49.0,9.0,14.0
50.0,10.0,16.0
46.0,9.0,14.0
32.0,5.0,8.0
19.0,4.0,5.0
13.0,11.0,11.0
22.0,19.0,18.0
20.0,17.0,16.0
19.0,16.0,16.0
19.0,16.0,16.0
19.0,16.0,16.0
22.0,20.0,19.0
13.0,7.0,7.0
11.0,4.0,5.0
11.0,3.0,4.0
15.0,3.0,4.0
12.0,3.0,4.0
13.0,2.0,4.0
22.0,3.0,5.0
23.0,3.0,5.0
24.0,14.0,14.0
17.0,14.0,14.0
17.0,14.0,14.0
10.0,8.0,8.0
1.0,0.0,0.0
1.0,0.0,1.0
1.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,1.0
1.0,2.0,2.0
1.0,1.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
2.0,1.0,2.0
1.0,1.0,2.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
